Participant,Stimulus_Name,Amused*,Angry*,Bored*,Calm*,Content*,Disgust*,Excited*,Fearful*,Happy*,Negative*,Positive*,Sad*,Amused*_normalized,Angry*_normalized,Bored*_normalized,Calm*_normalized,Content*_normalized,Disgust*_normalized,Excited*_normalized,Fearful*_normalized,Happy*_normalized,Negative*_normalized,Positive*_normalized,Sad*_normalized
yb3T2,HN_4,1.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,6.0,0.0,1.0,-0.3543739351347693,-0.5236706770266155,-0.3543739351347693,-0.5236706770266155,-0.5236706770266155,-0.5236706770266155,-0.5236706770266155,0.6614065162163077,-0.5236706770266155,0.49210977432446157,-0.5236706770266155,-0.3543739351347693
yb3T2,HN_5,0.0,6.0,0.0,0.0,0.0,8.0,0.0,9.0,0.0,8.0,0.0,8.0,-0.5236706770266155,0.49210977432446157,-0.5236706770266155,-0.5236706770266155,-0.5236706770266155,0.8307032581081538,-0.5236706770266155,1.0,-0.5236706770266155,0.8307032581081538,-0.5236706770266155,0.8307032581081538
yb3T2,HN_6,0.0,7.0,1.0,3.0,2.0,6.0,0.0,6.0,0.0,8.0,0.0,9.0,-0.5236706770266155,0.6614065162163077,-0.3543739351347693,-0.015780451351076953,-0.18507719324292313,0.49210977432446157,-0.5236706770266155,0.49210977432446157,-0.5236706770266155,0.8307032581081538,-0.5236706770266155,1.0
yb3T2,HN_7,0.0,6.0,1.0,2.0,2.0,7.0,0.0,8.0,0.0,8.0,0.0,7.0,-0.5236706770266155,0.49210977432446157,-0.3543739351347693,-0.18507719324292313,-0.18507719324292313,0.6614065162163077,-0.5236706770266155,0.8307032581081538,-0.5236706770266155,0.8307032581081538,-0.5236706770266155,0.6614065162163077
yb3T2,HN_8,5.0,2.0,0.0,5.0,5.0,0.0,2.0,0.0,2.0,6.0,3.0,5.0,0.3228130324326154,-0.18507719324292313,-0.5236706770266155,0.3228130324326154,0.3228130324326154,-0.5236706770266155,-0.18507719324292313,-0.5236706770266155,-0.18507719324292313,0.49210977432446157,-0.015780451351076953,0.3228130324326154
yb3T2,HP_2,8.0,0.0,2.0,8.0,8.0,0.0,7.0,0.0,8.0,0.0,8.0,0.0,0.8307032581081538,-0.5236706770266155,-0.18507719324292313,0.8307032581081538,0.8307032581081538,-0.5236706770266155,0.6614065162163077,-0.5236706770266155,0.8307032581081538,-0.5236706770266155,0.8307032581081538,-0.5236706770266155
yb3T2,HP_4,8.0,0.0,0.0,7.0,7.0,0.0,7.0,0.0,7.0,0.0,8.0,0.0,0.8307032581081538,-0.5236706770266155,-0.5236706770266155,0.6614065162163077,0.6614065162163077,-0.5236706770266155,0.6614065162163077,-0.5236706770266155,0.6614065162163077,-0.5236706770266155,0.8307032581081538,-0.5236706770266155
yb3T2,HP_5,6.0,0.0,5.0,3.0,3.0,0.0,3.0,2.0,4.0,1.0,4.0,0.0,0.49210977432446157,-0.5236706770266155,0.3228130324326154,-0.015780451351076953,-0.015780451351076953,-0.5236706770266155,-0.015780451351076953,-0.18507719324292313,0.1535162905407692,-0.3543739351347693,0.1535162905407692,-0.5236706770266155
yb3T2,HP_6,9.0,0.0,0.0,7.0,7.0,0.0,7.0,0.0,8.0,0.0,8.0,0.0,1.0,-0.5236706770266155,-0.5236706770266155,0.6614065162163077,0.6614065162163077,-0.5236706770266155,0.6614065162163077,-0.5236706770266155,0.8307032581081538,-0.5236706770266155,0.8307032581081538,-0.5236706770266155
yb3T2,HP_8,9.0,0.0,0.0,7.0,7.0,0.0,7.0,0.0,8.0,1.0,7.0,0.0,1.0,-0.5236706770266155,-0.5236706770266155,0.6614065162163077,0.6614065162163077,-0.5236706770266155,0.6614065162163077,-0.5236706770266155,0.8307032581081538,-0.3543739351347693,0.6614065162163077,-0.5236706770266155
yb3T2,LN_1,0.0,0.0,8.0,7.0,7.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,-0.5236706770266155,-0.5236706770266155,0.8307032581081538,0.6614065162163077,0.6614065162163077,-0.5236706770266155,-0.5236706770266155,-0.5236706770266155,-0.015780451351076953,-0.015780451351076953,-0.015780451351076953,-0.015780451351076953
yb3T2,LN_2,0.0,0.0,0.0,2.0,2.0,1.0,0.0,7.0,0.0,8.0,0.0,9.0,-0.5236706770266155,-0.5236706770266155,-0.5236706770266155,-0.18507719324292313,-0.18507719324292313,-0.3543739351347693,-0.5236706770266155,0.6614065162163077,-0.5236706770266155,0.8307032581081538,-0.5236706770266155,1.0
yb3T2,LN_3,0.0,8.0,0.0,2.0,1.0,7.0,0.0,6.0,0.0,5.0,0.0,7.0,-0.5236706770266155,0.8307032581081538,-0.5236706770266155,-0.18507719324292313,-0.3543739351347693,0.6614065162163077,-0.5236706770266155,0.49210977432446157,-0.5236706770266155,0.3228130324326154,-0.5236706770266155,0.6614065162163077
yb3T2,LN_4,1.0,2.0,0.0,4.0,4.0,0.0,0.0,2.0,1.0,3.0,2.0,1.0,-0.3543739351347693,-0.18507719324292313,-0.5236706770266155,0.1535162905407692,0.1535162905407692,-0.5236706770266155,-0.5236706770266155,-0.18507719324292313,-0.3543739351347693,-0.015780451351076953,-0.18507719324292313,-0.3543739351347693
yb3T2,LN_5,0.0,0.0,8.0,6.0,6.0,0.0,1.0,0.0,3.0,2.0,3.0,1.0,-0.5236706770266155,-0.5236706770266155,0.8307032581081538,0.49210977432446157,0.49210977432446157,-0.5236706770266155,-0.3543739351347693,-0.5236706770266155,-0.015780451351076953,-0.18507719324292313,-0.015780451351076953,-0.3543739351347693
yb3T2,LN_6,4.0,0.0,6.0,8.0,8.0,0.0,3.0,0.0,4.0,5.0,4.0,6.0,0.1535162905407692,-0.5236706770266155,0.49210977432446157,0.8307032581081538,0.8307032581081538,-0.5236706770266155,-0.015780451351076953,-0.5236706770266155,0.1535162905407692,0.3228130324326154,0.1535162905407692,0.49210977432446157
yb3T2,LN_8,6.0,0.0,1.0,7.0,7.0,0.0,1.0,0.0,1.0,6.0,2.0,8.0,0.49210977432446157,-0.5236706770266155,-0.3543739351347693,0.6614065162163077,0.6614065162163077,-0.5236706770266155,-0.3543739351347693,-0.5236706770266155,-0.3543739351347693,0.49210977432446157,-0.18507719324292313,0.8307032581081538
yb3T2,LP_1,9.0,0.0,0.0,8.0,8.0,0.0,8.0,0.0,8.0,0.0,8.0,0.0,1.0,-0.5236706770266155,-0.5236706770266155,0.8307032581081538,0.8307032581081538,-0.5236706770266155,0.8307032581081538,-0.5236706770266155,0.8307032581081538,-0.5236706770266155,0.8307032581081538,-0.5236706770266155
yb3T2,LP_2,6.0,0.0,3.0,7.0,7.0,0.0,4.0,0.0,8.0,2.0,7.0,4.0,0.49210977432446157,-0.5236706770266155,-0.015780451351076953,0.6614065162163077,0.6614065162163077,-0.5236706770266155,0.1535162905407692,-0.5236706770266155,0.8307032581081538,-0.18507719324292313,0.6614065162163077,0.1535162905407692
yb3T2,LP_3,7.0,0.0,3.0,8.0,8.0,0.0,6.0,0.0,8.0,0.0,8.0,0.0,0.6614065162163077,-0.5236706770266155,-0.015780451351076953,0.8307032581081538,0.8307032581081538,-0.5236706770266155,0.49210977432446157,-0.5236706770266155,0.8307032581081538,-0.5236706770266155,0.8307032581081538,-0.5236706770266155
yb3T2,LP_4,6.0,0.0,5.0,9.0,9.0,0.0,2.0,0.0,8.0,0.0,7.0,1.0,0.49210977432446157,-0.5236706770266155,0.3228130324326154,1.0,1.0,-0.5236706770266155,-0.18507719324292313,-0.5236706770266155,0.8307032581081538,-0.5236706770266155,0.6614065162163077,-0.3543739351347693
yb3T2,LP_5,7.0,0.0,0.0,7.0,7.0,0.0,6.0,1.0,6.0,2.0,6.0,3.0,0.6614065162163077,-0.5236706770266155,-0.5236706770266155,0.6614065162163077,0.6614065162163077,-0.5236706770266155,0.49210977432446157,-0.3543739351347693,0.49210977432446157,-0.18507719324292313,0.49210977432446157,-0.015780451351076953
yb3T2,LP_6,1.0,0.0,6.0,8.0,8.0,0.0,0.0,1.0,5.0,0.0,5.0,0.0,-0.3543739351347693,-0.5236706770266155,0.49210977432446157,0.8307032581081538,0.8307032581081538,-0.5236706770266155,-0.5236706770266155,-0.3543739351347693,0.3228130324326154,-0.5236706770266155,0.3228130324326154,-0.5236706770266155
yb3T2,LP_7,1.0,3.0,0.0,7.0,7.0,0.0,6.0,0.0,8.0,7.0,8.0,7.0,-0.3543739351347693,-0.015780451351076953,-0.5236706770266155,0.6614065162163077,0.6614065162163077,-0.5236706770266155,0.49210977432446157,-0.5236706770266155,0.8307032581081538,0.6614065162163077,0.8307032581081538,0.6614065162163077
yb3T2,LP_8,9.0,0.0,0.0,8.0,8.0,0.0,8.0,0.0,9.0,0.0,8.0,0.0,1.0,-0.5236706770266155,-0.5236706770266155,0.8307032581081538,0.8307032581081538,-0.5236706770266155,0.8307032581081538,-0.5236706770266155,1.0,-0.5236706770266155,0.8307032581081538,-0.5236706770266155
EXAMPLE,HP_1_L,5.0,0.0,2.0,7.0,4.0,0.0,4.0,0.0,3.0,0.0,6.0,0.0,0.3565024645392788,-0.44786945478662277,-0.12612068705626217,0.6782512322696393,0.19562808067409848,-0.44786945478662277,0.19562808067409848,-0.44786945478662277,0.03475369680891816,-0.44786945478662277,0.5173768484044591,-0.44786945478662277
tMGNS,HP_1_L,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0,0.0,0.0,-0.05300662317945169,-0.18463245107688314,-0.18463245107688314,-0.18463245107688314,-0.18463245107688314,-0.18463245107688314,0.47349668841027415,-0.18463245107688314,0.3418708605128427,-0.18463245107688314,-0.18463245107688314,-0.18463245107688314
urJvc,HP_1_L,0.0,0.0,9.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,-0.32585051150826444,-0.32585051150826444,1.0,0.41073310599632695,-0.17853378800734615,-0.32585051150826444,-0.32585051150826444,-0.32585051150826444,-0.32585051150826444,-0.32585051150826444,0.7053665529981634,-0.32585051150826444
yb3T2,HP_1_L,7.0,0.0,5.0,6.0,6.0,0.0,6.0,0.0,7.0,1.0,6.0,0.0,0.6614065162163077,-0.5236706770266155,0.3228130324326154,0.49210977432446157,0.49210977432446157,-0.5236706770266155,0.49210977432446157,-0.5236706770266155,0.6614065162163077,-0.3543739351347693,0.49210977432446157,-0.5236706770266155
EXAMPLE,HP_1_H,7.0,0.46153846153846156,0.7692307692307693,3.9615384615384617,4.961538461538462,0.34615384615384615,5.269230769230769,0.34615384615384615,6.230769230769231,0.8076923076923077,5.961538461538462,0.5384615384615384,0.6782512322696393,-0.37361973915653957,-0.3241199287364841,0.18944060437159158,0.3503149882367719,-0.39218216806406037,0.39981479865682734,-0.39218216806406037,0.5545017062195008,-0.31793245243397716,0.5111893721019523,-0.3612447865515257
tMGNS,HP_1_H,7.0,0.46153846153846156,0.7692307692307693,3.9615384615384617,4.961538461538462,0.34615384615384615,5.269230769230769,0.34615384615384615,6.230769230769231,0.8076923076923077,5.961538461538462,0.5384615384615384,0.7367483442051371,-0.12388206897037632,-0.0833818142327051,0.3368083286706338,0.4684341565680653,-0.13906966449700306,0.5089344113057365,-0.13906966449700306,0.635497707360959,-0.07831928239049621,0.6000599844654967,-0.11375700528595853
urJvc,HP_1_H,7.0,0.46153846153846156,0.7692307692307693,3.9615384615384617,4.961538461538462,0.34615384615384615,5.269230769230769,0.34615384615384615,6.230769230769231,0.8076923076923077,5.961538461538462,0.5384615384615384,0.7053665529981634,-0.25785817758476365,-0.21252995496909655,0.2577503546684503,0.4050670781693686,-0.2748562610656389,0.4503953007850357,-0.2748562610656389,0.5920459964589957,-0.20686392714213814,0.5523838016702869,-0.24652612193084691
yb3T2,HP_1_H,7.0,0.46153846153846156,0.7692307692307693,3.9615384615384617,4.961538461538462,0.34615384615384615,5.269230769230769,0.34615384615384615,6.230769230769231,0.8076923076923077,5.961538461538462,0.5384615384615384,0.6614065162163077,-0.44553371923037877,-0.39344241403288766,0.14700487739108284,0.31630161928292905,-0.46506795867943795,0.3683929244804201,-0.46506795867943795,0.5311782532225799,-0.3869310008832012,0.4855983611747752,-0.43251089293100603
EXAMPLE,HP_3_L,7.0,0.0,2.0,8.0,8.0,0.0,3.0,0.0,7.0,0.0,7.0,0.0,0.6782512322696393,-0.44786945478662277,-0.12612068705626217,0.8391256161348197,0.8391256161348197,-0.44786945478662277,0.03475369680891816,-0.44786945478662277,0.6782512322696393,-0.44786945478662277,0.6782512322696393,-0.44786945478662277
tMGNS,HP_3_L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,-0.18463245107688314,-0.18463245107688314,-0.18463245107688314,-0.18463245107688314,-0.18463245107688314,-0.18463245107688314,-0.18463245107688314,-0.18463245107688314,0.07861920471797976,-0.18463245107688314,-0.18463245107688314,-0.18463245107688314
urJvc,HP_3_H,8.0,0.0,0.0,7.0,8.0,0.0,7.0,0.0,9.0,0.0,9.0,0.0,0.8526832764990817,-0.32585051150826444,-0.32585051150826444,0.7053665529981634,0.8526832764990817,-0.32585051150826444,0.7053665529981634,-0.32585051150826444,1.0,-0.32585051150826444,1.0,-0.32585051150826444
yb3T2,HP_3_H,9.0,0.0,0.0,8.0,8.0,0.0,8.0,0.0,8.0,0.0,8.0,0.0,1.0,-0.5236706770266155,-0.5236706770266155,0.8307032581081538,0.8307032581081538,-0.5236706770266155,0.8307032581081538,-0.5236706770266155,0.8307032581081538,-0.5236706770266155,0.8307032581081538,-0.5236706770266155
EXAMPLE,HP_3_H,8.1875,0.1875,0.15625,4.90625,5.59375,0.40625,5.46875,0.0625,7.21875,0.46875,7.21875,0.40625,0.869289563109541,-0.41770550781190147,-0.4227328323076884,0.34142049105191813,0.4520216299592296,-0.3825142363413933,0.4319123319760821,-0.437814805795049,0.7134425037401475,-0.37245958734981954,0.7134425037401475,-0.3825142363413933
tMGNS,HP_3_H,8.1875,0.1875,0.15625,4.90625,5.59375,0.40625,5.46875,0.0625,7.21875,0.46875,7.21875,0.40625,0.8930540148333369,-0.15995260834611474,-0.1640659154679095,0.46115676704488995,0.5516495237243741,-0.13115945849355162,0.5351962952371951,-0.1764058368332937,0.7655414940577002,-0.12293284424996216,0.7655414940577002,-0.13115945849355162
urJvc,HP_3_L,4.0,0.03225806451612903,2.129032258064516,4.161290322580645,3.6774193548387095,0.16129032258064516,3.129032258064516,0.0967741935483871,4.193548387096774,0.2903225806451613,4.516129032258065,0.03225806451612903,0.26341638249540866,-0.3210983591372671,-0.012208455022438437,0.2871771443503955,0.21589485878543502,-0.3020897496532776,0.13510826847847984,-0.3115940543952723,0.29192929672139284,-0.28308114016928815,0.33945082043136654,-0.3210983591372671
yb3T2,HP_3_L,4.0,0.03225806451612903,2.129032258064516,4.161290322580645,3.6774193548387095,0.16129032258064516,3.129032258064516,0.0967741935483871,4.193548387096774,0.2903225806451613,4.516129032258065,0.03225806451612903,0.1535162905407692,-0.5182094918042979,-0.16323245235365266,0.1808222166523573,0.098904438317593,-0.4963647509150274,0.0060642895381935015,-0.5072871213596626,0.1862834018746749,-0.4745200100257569,0.24089525409785117,-0.5182094918042979
